Sample,Magnification,Compound Compositions,Indent Composition,Hardness,Hv,Modulus,Stiffness^2 / Load,Pmax,Hmax,Reporting Depth
EP3086D,2_600X,CuTiAl = Cu: 48.93%-Ti: 24.62%-Al: 24.32%-Cr: 2.13% | CuTiAlCr = Cu: 37.09%-Ti: 26.2%-Al: 25.96%-Cr: 10.75% | CuAlTi = Cu: 57.36%-Al: 28.69%-Ti: 11.86%-Cr: 2.1% | Unassigned = Cu: 43.63%-Al: 25.06%-Ti: 19.15%-Cr: 12.15%,CuAlTi : 17.87%|Unassigned : 16.54%|CuTiAlCr : 21.45%|CuTiAl : 44.15%,4.903,463.4,140.97,4836,477.732,2050,466.9
EP3086D,2_600X,CuTiAl = Cu: 48.93%-Ti: 24.62%-Al: 24.32%-Cr: 2.13% | CuTiAlCr = Cu: 37.09%-Ti: 26.2%-Al: 25.96%-Cr: 10.75% | CuAlTi = Cu: 57.36%-Al: 28.69%-Ti: 11.86%-Cr: 2.1% | Unassigned = Cu: 43.63%-Al: 25.06%-Ti: 19.15%-Cr: 12.15%,CuTiAl : 29.23%|CuAlTi : 8.48%|Unassigned : 35.88%|CuTiAlCr : 26.41%,5.203,491.7,143.6,4708.2,430.974,2045,452.9
EP3086D,2_600X,CuTiAl = Cu: 48.93%-Ti: 24.62%-Al: 24.32%-Cr: 2.13% | CuTiAlCr = Cu: 37.09%-Ti: 26.2%-Al: 25.96%-Cr: 10.75% | CuAlTi = Cu: 57.36%-Al: 28.69%-Ti: 11.86%-Cr: 2.1% | Unassigned = Cu: 43.63%-Al: 25.06%-Ti: 19.15%-Cr: 12.15%,CuTiAlCr : 47.75%|CuTiAl : 18.55%|CuAlTi : 15.34%|Unassigned : 18.37%,7.024,663.9,145.53,3569.9,532.916,2070,387.1
EP3086D,2_600X,CuTiAl = Cu: 48.93%-Ti: 24.62%-Al: 24.32%-Cr: 2.13% | CuTiAlCr = Cu: 37.09%-Ti: 26.2%-Al: 25.96%-Cr: 10.75% | CuAlTi = Cu: 57.36%-Al: 28.69%-Ti: 11.86%-Cr: 2.1% | Unassigned = Cu: 43.63%-Al: 25.06%-Ti: 19.15%-Cr: 12.15%,CuTiAl : 61.32%|CuTiAlCr : 21.78%|CuAlTi : 10.15%|Unassigned : 6.75%,5.056,477.9,143.35,4830,438.607,2044,459.6
EP3086D,2_600X,CuTiAl = Cu: 48.93%-Ti: 24.62%-Al: 24.32%-Cr: 2.13% | CuTiAlCr = Cu: 37.09%-Ti: 26.2%-Al: 25.96%-Cr: 10.75% | CuAlTi = Cu: 57.36%-Al: 28.69%-Ti: 11.86%-Cr: 2.1% | Unassigned = Cu: 43.63%-Al: 25.06%-Ti: 19.15%-Cr: 12.15%,CuTiAlCr : 26.49%|Unassigned : 23.41%|CuTiAl : 26.94%|CuAlTi : 23.16%,5.95,562.4,152.33,4565.1,492.584,2052,422.1
EP3086D,2_600X,CuTiAl = Cu: 48.93%-Ti: 24.62%-Al: 24.32%-Cr: 2.13% | CuTiAlCr = Cu: 37.09%-Ti: 26.2%-Al: 25.96%-Cr: 10.75% | CuAlTi = Cu: 57.36%-Al: 28.69%-Ti: 11.86%-Cr: 2.1% | Unassigned = Cu: 43.63%-Al: 25.06%-Ti: 19.15%-Cr: 12.15%,CuTiAlCr : 47.57%|CuTiAl : 40.66%|Unassigned : 7.57%|CuAlTi : 4.20%,6.613,625.1,155.39,4252,539.213,2055,399.7
EP3086D,2_600X,CuTiAl = Cu: 48.93%-Ti: 24.62%-Al: 24.32%-Cr: 2.13% | CuTiAlCr = Cu: 37.09%-Ti: 26.2%-Al: 25.96%-Cr: 10.75% | CuAlTi = Cu: 57.36%-Al: 28.69%-Ti: 11.86%-Cr: 2.1% | Unassigned = Cu: 43.63%-Al: 25.06%-Ti: 19.15%-Cr: 12.15%,CuTiAlCr : 48.98%|Unassigned : 16.79%|CuTiAl : 34.23%,5.272,498.3,132.73,4043.3,441.253,2046,449.5
EP3086D,2_600X,CuTiAl = Cu: 48.93%-Ti: 24.62%-Al: 24.32%-Cr: 2.13% | CuTiAlCr = Cu: 37.09%-Ti: 26.2%-Al: 25.96%-Cr: 10.75% | CuAlTi = Cu: 57.36%-Al: 28.69%-Ti: 11.86%-Cr: 2.1% | Unassigned = Cu: 43.63%-Al: 25.06%-Ti: 19.15%-Cr: 12.15%,CuTiAl : 65.20%|CuAlTi : 13.26%|Unassigned : 11.73%|CuTiAlCr : 9.81%,5.496,519.5,144.91,4528,488.316,2049,440.1
EP3086D,2_600X,CuTiAl = Cu: 48.93%-Ti: 24.62%-Al: 24.32%-Cr: 2.13% | CuTiAlCr = Cu: 37.09%-Ti: 26.2%-Al: 25.96%-Cr: 10.75% | CuAlTi = Cu: 57.36%-Al: 28.69%-Ti: 11.86%-Cr: 2.1% | Unassigned = Cu: 43.63%-Al: 25.06%-Ti: 19.15%-Cr: 12.15%,CuAlTi : 8.91%|CuTiAl : 58.19%|Unassigned : 16.13%|CuTiAlCr : 16.76%,4.609,435.7,138.42,4981.2,447.304,2049,482.2
EP3086D,2_600X,CuTiAl = Cu: 48.93%-Ti: 24.62%-Al: 24.32%-Cr: 2.13% | CuTiAlCr = Cu: 37.09%-Ti: 26.2%-Al: 25.96%-Cr: 10.75% | CuAlTi = Cu: 57.36%-Al: 28.69%-Ti: 11.86%-Cr: 2.1% | Unassigned = Cu: 43.63%-Al: 25.06%-Ti: 19.15%-Cr: 12.15%,CuTiAl : 50.73%|CuTiAlCr : 46.99%|Unassigned : 2.27%,6.932,655.2,165.38,4519.1,505.562,2058,389.9
